Cpu,Ram,Weight,Price,Acer,Apple,Asus,Chuwi,Dell,Fujitsu,Google,HP,Huawei,LG,Lenovo,MSI,Mediacom,Microsoft,Razer,Samsung,Toshiba,Vero,Xiaomi,No
52,4,1.74,1675.656,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
75,8,1.1,3503.16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,8,1.56,2794.536,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,4,2.1,1190.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13,4,2.03,1073.592,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,4,3,2144.52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,8,2.13,1939.392,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,16,2.5,2874.456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
34,4,2.1,927.072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,16,2.4,4792.536,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
102,4,2.1,968.3906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,8,2.56,2825.145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,8,3,2275.056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,4,1.49,2008.656,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
67,8,1.05,3593.736,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
67,6,2.71,1862.136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9,4,2.2,823.176,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
52,4,2,1302.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
75,8,2.5,2458.872,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
52,8,2.3,1222.776,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,4,2.1,1196.136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,32,4.4,7456.536,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
67,8,1.90,2165.832,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
75,8,1.29,3993.336,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
97,16,2.02,2794.536,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,8,1.23,3726.936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,16,1.4,4925.736,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
67,8,2.0,2112.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
75,8,1.95,3194.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
97,16,2.77,4126.536,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,16,2.06,6385.608,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,8,2.4,2075.256,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
73,8,1.12,2634.696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,8,2.8,2890.44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,16,1.42,7523.136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
34,4,1.3,692.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
67,8,1.3,2663.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
75,8,2.8,1859.472,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
97,8,1.62,2235.096,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,8,2.5,2434.896,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
94,32,3.49,16247.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
75,8,1.49,2554.776,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
93,16,3.35,3673.656,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
